Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Miguel Oropeza,--,TAL,SSAC,NAIA,.508,,57,249,183,80,93,21,6,10,69,26,2,43,17,.612,.852,1.465,156,0,14,4,5,
Josh Duarte,--,GTC,MSC,NAIA,.491,,52,217,175,58,86,17,4,11,47,35,2,23,16,.569,.823,1.392,144,0,14,1,4,
Trey Furrey,24,WJP,GSAC,NAIA,.489,,46,212,178,67,87,12,2,16,52,17,5,31,23,.566,.848,1.414,151,0,2,0,1,
Pat McGinn,--,IIT,WHAC,NAIA,.483,,41,185,143,42,69,8,1,0,31,9,2,29,22,.568,.552,1.121,79,1,2,9,2,
Carson Boles,22,LMU,SAC,NCAA,.475,,50,236,183,68,87,24,1,15,68,14,2,40,18,.572,.863,1.435,158,3,8,0,5,2
Mason Cox,--,MLC,UMAC,NCAA,.469,,33,146,128,32,60,10,6,5,30,5,1,8,8,.534,.758,1.292,97,1,10,0,0,1
Jacob Charon,23,LWU,MDWC,NCAA,.468,,41,193,154,56,72,13,2,14,61,11,2,31,33,.570,.851,1.421,131,0,7,0,1,1
Hayden Jatczak,22,SVS,GLIC,NCAA,.468,,59,283,231,90,108,27,4,16,82,8,1,43,26,.551,.827,1.378,191,3,5,0,4,11
Jonathan Logsdon,--,ASU,SIAC,NCAA,.467,,49,239,182,74,85,20,3,7,55,10,6,34,16,.582,.725,1.308,132,2,19,2,2,0
Tommy Kreider,--,UNP,SUNY,NCAA,.466,,46,225,176,61,82,19,3,3,36,20,3,38,21,.560,.659,1.219,116,1,6,0,5,0
Jesse Velders,21,MSU,RMAC,NCAA,.460,,46,196,150,61,69,22,4,10,57,11,1,22,13,.562,.860,1.422,129,2,18,2,4,1
Bryson Lofton,--,BYN,APAC,NAIA,.458,,48,227,190,55,87,18,2,18,66,4,2,33,18,.529,.858,1.387,163,1,0,0,4,
Carter Thomas,20,WSC,NSUN,NCAA,.457,,37,145,127,40,58,11,0,1,24,18,3,12,9,.517,.567,1.084,72,1,5,0,1,0
Chris Knowles,--,GAC,MNIC,NCAA,.456,,37,159,136,41,62,10,2,10,51,9,3,17,17,.522,.779,1.301,106,1,4,0,2,2
Jake Santiago,--,HFD,D3IN,NCAA,.452,,27,117,104,24,47,18,3,4,37,3,1,8,9,.504,.798,1.302,83,3,4,0,1,1
Indy Stanley,24,CCM,AMWC,NAIA,.450,,52,224,191,30,86,13,6,11,57,8,0,22,22,.518,.754,1.272,144,2,8,0,3,
Mac Wainwright,21,SIU,D2IN,NCAA,.449,,48,193,147,55,66,12,1,16,63,18,5,33,17,.532,.871,1.402,128,2,2,3,8,5
Drew Barragan,--,ERA,CPAC,NAIA,.448,,50,242,212,60,95,32,1,16,94,12,0,23,22,.500,.835,1.335,177,3,3,0,4,
Alec Boucher,--,DYC,ECC,NCAA,.448,,39,149,116,32,52,7,3,2,32,7,1,23,10,.541,.612,1.153,71,0,4,3,3,0
Joe Lukancic,--,AUR,NATH,NCAA,.447,,45,207,188,54,84,18,1,2,36,4,1,14,25,.485,.585,1.070,110,2,1,3,1,1
Mike Ramundo,--,ALV,COMC,NCAA,.447,,47,205,179,53,80,22,6,1,38,4,1,14,17,.505,.654,1.159,117,5,9,1,2,1
Sam Strazza,--,UNY,LIBL,NCAA,.446,,35,130,101,39,45,8,2,7,36,1,0,22,16,.555,.772,1.327,78,1,4,2,1,1
Jack Dupuis,21,ONU,CCAC,NAIA,.445,,53,244,191,67,85,11,1,4,46,26,7,29,27,.539,.576,1.115,110,0,16,3,5,
Jack Hines,23,ASD,NSUN,NCAA,.445,,57,241,209,77,93,10,6,21,89,17,2,13,39,.485,.852,1.337,178,2,11,0,8,1
Andrew Kell,21,SBU,C2C,NCAA,.444,,41,188,142,47,63,17,2,6,48,13,4,29,15,.545,.718,1.264,102,0,10,1,6,2
Bryce Petrilla,23,WJP,GSAC,NAIA,.444,,46,180,151,37,67,13,3,9,56,1,2,23,25,.520,.748,1.268,113,0,3,1,2,
Daniel Rogers,--,LRC,ARC,NCAA,.444,,41,199,162,49,72,19,3,8,38,1,2,32,22,.538,.747,1.285,121,4,3,0,2,7
Blaze O'Saben,23,GGC,CAC,NAIA,.443,,62,308,246,116,109,18,13,14,83,50,4,37,33,.533,.793,1.326,195,3,16,4,5,
Darrien McDowell,22,WFL,GSC,NCAA,.442,,58,280,215,77,95,16,1,27,77,7,1,53,34,.565,.902,1.467,194,1,9,2,1,21
Liam Daly,--,SUP,SKYC,NCAA,.441,,39,155,136,42,60,14,4,11,40,11,3,16,11,.500,.846,1.346,115,1,1,1,1,5
Brendan Espinal,--,RSC,EMP8,NCAA,.441,,37,169,136,54,60,10,4,4,34,10,3,17,24,.544,.662,1.206,90,1,15,0,1,0
Nico Santoro,--,LVC,FREC,NCAA,.441,,27,120,102,32,45,18,0,0,24,5,1,13,8,.504,.618,1.122,63,2,2,1,2,0
Trent Youngblood,22,TRU,HCAC,NCAA,.441,,48,239,170,73,75,16,3,10,45,34,6,60,18,.598,.747,1.345,127,1,8,0,1,16
Riley Hood,--,MCM,ASWC,NCAA,.440,,41,193,166,41,73,15,1,2,37,6,0,19,18,.513,.578,1.091,96,2,7,0,1,0
Aaron Santos,--,FDF,FREC,NCAA,.439,,30,132,114,26,50,10,3,4,30,3,1,14,22,.496,.684,1.180,78,1,1,1,2,0
Ethan Tuttle,--,SPU,SLIA,NCAA,.439,,45,227,196,66,86,16,7,1,31,21,6,26,28,.509,.607,1.116,119,1,3,1,1,2
Taj Bates,20,BDC,SIAC,NCAA,.438,,37,147,112,30,49,7,0,5,37,5,2,19,11,.537,.634,1.171,71,1,11,0,5,0
Isaac Kim,22,PPC,SCIA,NCAA,.438,,44,211,176,48,77,17,1,17,82,0,0,22,26,.493,.835,1.328,147,4,5,0,8,1
Cade McBride,22,CBC,AMWC,NAIA,.438,,46,207,178,53,78,15,2,5,44,21,2,17,17,.505,.629,1.134,112,0,9,1,2,
Bryce Novak,23,GAC,MNIC,NCAA,.438,,38,175,144,46,63,17,1,3,26,6,1,20,15,.523,.632,1.155,91,0,8,1,2,0
Jelani Hamer,--,OSW,SUNY,NCAA,.437,,38,176,151,54,66,21,0,7,39,20,4,13,18,.506,.715,1.221,108,0,10,0,2,2
Ryan Kramer,--,WOO,NCAC,NCAA,.437,,31,152,126,37,55,12,2,10,53,1,2,17,18,.493,.802,1.295,101,1,3,0,6,3
Miguel Ramos,24,TAB,KCAC,NAIA,.437,,47,189,158,53,69,9,1,9,45,2,0,19,17,.519,.677,1.196,107,3,9,2,1,
Sam Angelo,23,MSU,NJAC,NCAA,.436,,39,196,163,50,71,15,3,18,60,7,1,29,26,.520,.896,1.416,146,2,2,0,2,8
Matt D'Amato,24,SRU,NEWM,NCAA,.436,,50,228,188,58,82,9,1,5,48,18,3,21,20,.504,.574,1.079,108,0,10,4,5,0
Kyle Williams,--,MAC,SOAC,NAIA,.436,,44,174,149,31,65,18,1,6,51,5,1,21,18,.500,.691,1.191,103,3,1,0,3,
Kevin Bushnell,24,BDU,NATH,NCAA,.433,,47,223,187,64,81,12,0,13,62,4,1,17,23,.498,.706,1.204,132,6,13,0,6,3
Charlie Condon,21,UGA,SEC,NCAA,.433,,60,304,231,84,100,20,1,37,78,3,1,57,41,.556,1.009,1.565,233,4,12,0,4,28
Hayes Waddell,--,MAC,MNIC,NCAA,.433,,33,121,104,23,45,14,0,6,22,1,0,14,17,.504,.740,1.245,77,4,2,0,1,1
Scout Zaas,--,WJC,PRES,NCAA,.433,,39,164,141,35,61,11,0,8,43,6,3,17,22,.506,.681,1.187,96,1,5,0,1,1
Jaxon Buratt,--,LNO,SSAC,NAIA,.432,,51,244,183,63,79,7,2,1,38,18,3,47,22,.558,.508,1.067,93,4,8,4,2,
Nathan Stafford,--,CGA,NEWM,NCAA,.431,,33,162,137,35,59,14,2,5,44,5,1,16,19,.494,.672,1.165,92,0,5,0,4,0
Tanner Benson,--,HPU,ASWC,NCAA,.430,,37,155,142,29,61,9,2,3,28,13,1,11,22,.465,.585,1.049,83,2,0,0,2,1
Kyle Baxt,--,OBE,NCAC,NCAA,.429,,39,173,161,24,69,11,0,4,32,1,0,8,13,.457,.571,1.028,92,6,2,0,2,2
Nate Carriere,24,TXT,LSC,NCAA,.429,,40,164,133,40,57,14,3,5,30,16,5,17,12,.522,.692,1.214,92,3,9,5,0,1
Jared Hall,--,BTe,MSC,NAIA,.429,,46,204,170,60,73,8,4,4,45,11,2,19,17,.512,.594,1.107,101,1,11,3,1,
Nick Jacobs,--,THI,PRES,NCAA,.429,,35,140,119,29,51,15,1,4,35,2,0,17,22,.500,.672,1.172,80,4,2,0,2,0
Dylan Lewis,--,RDT,APAC,NAIA,.429,,62,277,226,79,97,24,0,25,79,8,3,42,36,.534,.867,1.402,196,3,9,0,0,
Carson Ogilvie,--,LCU,LSC,NCAA,.429,,61,306,252,94,108,30,7,13,66,25,0,36,42,.498,.758,1.256,191,3,7,3,8,2
Bryce Thacker,--,FER,ODAC,NCAA,.429,,37,172,140,30,60,16,0,3,40,9,2,14,23,.503,.607,1.110,85,2,12,1,5,1
Tyler Warr,--,CAI,CSAC,NCAA,.429,,43,185,156,34,67,15,1,5,49,1,0,24,30,.508,.635,1.143,99,2,3,0,2,3
Tripp Clark,23,ASU,LSC,NCAA,.428,,65,285,229,68,98,25,6,14,92,28,9,24,24,.523,.773,1.296,177,4,27,0,5,4
Jordan Daphney,22,WIL,CSAC,NCAA,.428,,35,147,138,23,59,12,1,0,35,12,2,4,15,.435,.529,.964,73,5,1,0,4,0
Joshua Kuroda-Grauer,21,RUT,BTen,NCAA,.428,,53,258,222,54,95,19,1,5,45,24,3,23,18,.492,.590,1.082,131,3,8,2,3,1
Logan Yi,--,WCM,CENT,NCAA,.428,,39,176,145,45,62,14,1,6,42,9,1,25,21,.506,.662,1.168,96,5,2,0,4,0
Mike Bathauer,--,ASU,RMAC,NCAA,.427,,52,232,199,60,85,15,2,15,76,6,1,23,25,.487,.749,1.236,149,1,5,0,5,2
Drew Fleming,--,CMI,WHAC,NAIA,.427,,57,240,192,62,82,15,3,29,76,2,0,42,24,.538,.990,1.527,190,3,5,0,1,
Adam Paniagua,--,REG,RMAC,NCAA,.427,,38,173,131,43,56,10,2,17,60,2,0,26,24,.566,.924,1.490,121,1,16,0,0,2
Ajay Sczepkowski,25,GGC,CAC,NAIA,.427,,59,276,213,89,91,23,2,21,96,51,3,40,40,.543,.850,1.393,181,0,19,0,4,
Austin Teal,--,CBC,AMWC,NAIA,.427,,42,185,157,44,67,6,1,6,53,33,2,21,13,.486,.592,1.079,93,2,2,0,5,
Shawn Baxter,--,FER,ODAC,NCAA,.426,,32,131,115,20,49,6,0,3,30,5,2,9,8,.473,.557,1.029,64,1,3,2,2,0
Evan Bilter,19,CSM,RMAC,NCAA,.426,,40,156,129,30,55,17,0,2,37,5,3,21,21,.523,.605,1.127,78,5,5,1,0,0
J.J. Cruz,23,HIU,GSAC,NAIA,.426,,61,280,244,69,104,24,2,17,85,5,0,21,40,.477,.750,1.227,183,3,8,1,6,
Rhett Grosz,--,MHB,ASWC,NCAA,.426,,41,177,155,31,66,14,1,7,50,15,5,14,21,.477,.665,1.142,103,0,4,1,3,0
Zack Saryeldin,23,CWV,MEC,NCAA,.426,,36,150,122,45,52,10,1,11,49,4,3,19,15,.517,.795,1.312,97,2,6,1,2,1
Will Shannon,21,HIL,GMAC,NCAA,.426,,42,179,148,50,63,14,1,15,52,1,0,27,23,.508,.838,1.346,124,2,1,0,3,1
Ben Leid,24,CWU,GNAC,NCAA,.425,,47,204,181,41,77,13,3,9,46,2,2,16,33,.490,.680,1.170,123,0,7,0,0,0
Cole Palmeri,21,CBC,NESC,NCAA,.425,,32,143,113,41,48,15,2,11,38,8,0,24,15,.528,.885,1.413,100,1,3,1,2,5
Jacob Gutierrez,21,LCU,LSC,NCAA,.424,,49,221,184,58,78,11,7,10,60,6,2,24,20,.500,.723,1.223,133,3,8,1,4,1
Riley Hasson,--,JRI,GNEC,NCAA,.424,,40,202,172,56,73,18,3,6,62,11,2,17,21,.498,.669,1.166,115,2,10,1,2,1
Anthony Manisero,22,MOL,ECC,NCAA,.424,,43,190,172,50,73,14,1,9,56,22,3,6,10,.466,.674,1.140,116,2,9,1,2,0
Bennett McCollow,--,CSP,NSUN,NCAA,.424,,51,231,191,64,81,18,2,10,53,2,0,25,32,.511,.696,1.207,133,7,12,0,3,0
JC Ng,21,PPC,SCIA,NCAA,.424,,51,262,198,72,84,12,2,9,49,14,2,45,23,.546,.641,1.187,127,2,14,0,5,2
James Theodore,--,WBU,SLIA,NCAA,.424,,41,205,177,47,75,13,2,0,37,39,3,18,14,.480,.520,1.000,92,0,3,5,2,0
Chris Betler,20,YCP,COMC,NCAA,.423,,41,180,149,50,63,6,1,9,45,2,0,19,19,.506,.658,1.163,98,1,9,0,3,2
Nick Copen,--,MIL,SIAC,NCAA,.423,,46,140,111,27,47,12,1,4,37,6,1,13,19,.511,.658,1.168,73,2,11,1,4,0
J.P. Gates,24,TPA,SSC,NCAA,.423,,53,216,168,62,71,22,0,9,53,3,0,29,27,.535,.714,1.249,120,7,15,1,3,0
Zach Meyer,--,WAL,NSAA,NAIA,.423,,43,147,111,29,47,6,2,3,21,9,2,22,18,.544,.595,1.139,66,2,11,0,3,
Cole Robinson,--,MBU,AMWC,NAIA,.423,,51,223,182,54,77,17,0,19,73,1,2,19,21,.516,.830,1.345,151,2,19,0,3,
Mason White,24,ISE,RSC,NAIA,.423,,57,256,220,64,93,22,1,19,75,17,2,32,32,.492,.791,1.283,174,0,1,0,3,
Ricky Apodaca,23,MSU,NSUN,NCAA,.422,,41,168,147,37,62,15,2,4,43,8,3,16,26,.476,.633,1.109,93,2,2,0,3,2
Trent Mallonee,23,FPU,PWC,NCAA,.422,,46,179,161,36,68,11,1,1,29,13,3,11,13,.466,.522,.988,84,2,3,3,1,0
Evan Barks,--,EAS,COMC,NCAA,.421,,36,146,121,27,51,11,2,0,24,11,3,11,16,.500,.545,1.045,66,2,9,4,1,1
Murphy Flood,--,TUS,SAC,NCAA,.421,,49,226,190,41,80,12,2,5,51,3,3,21,24,.491,.584,1.075,111,5,10,0,5,1
Donovan Ford,--,NWB,SAC,NCAA,.421,,53,259,214,73,90,14,7,1,32,35,3,18,14,.506,.565,1.071,121,1,22,2,3,1
Isaiah Hairston,--,GFC,ODAC,NCAA,.421,,41,200,159,40,67,13,2,11,58,0,0,35,15,.525,.736,1.261,117,1,3,0,3,9
Tahraun Hammond,--,Big,D2IN,NCAA,.421,,48,219,178,63,75,13,5,4,40,13,1,34,9,.516,.618,1.134,110,3,4,0,3,0
Landon Mokris,--,GVC,SLIA,NCAA,.421,,39,181,145,45,61,12,0,19,67,5,1,31,11,.525,.897,1.421,130,0,3,0,2,8
Tyler Quade,--,MAC,AMCC,NCAA,.421,,39,172,140,39,59,17,2,3,28,19,5,25,15,.512,.636,1.147,89,0,3,2,2,2
Joey Rezek,22,NCP,CCar,NCAA,.421,,55,242,197,77,83,19,0,22,76,14,0,34,35,.521,.853,1.373,168,2,9,0,2,0
